what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1594386670754
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1594386670757
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1594386670876
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1594386707322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386724238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386737449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386780122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1594386780170
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1594386824452
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594386826678
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594386826690
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1594386849729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594386855081
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1594386865016
started,bundle,com.liferay.ide.eclipse.sdk,1.5.2.v201203041037,"com.liferay.ide.eclipse.sdk",1594386865022
started,bundle,com.liferay.ide.eclipse.project.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.project.core",1594386865033
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1594386865132
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1594386865150
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1594386865185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1594386956771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1594386986221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1594386986718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1594387013674
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1594387074708
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1594387074711
started,bundle,com.liferay.ide.eclipse.server.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.server.core",1594387074713
started,bundle,com.liferay.ide.eclipse.server.tomcat.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.server.tomcat.core",1594387074716
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1594387074724
started,bundle,com.liferay.ide.eclipse.server.tomcat.ui,1.5.2.v201203041037,"com.liferay.ide.eclipse.server.tomcat.ui",1594387074725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1594387126147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594387131507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1594387131517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1594387131517
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1594387131672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594387131786
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1594387131795
started,bundle,com.liferay.ide.eclipse.theme.core,1.5.2.v201203041037,"com.liferay.ide.eclipse.theme.core",1594387132071
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1594387133014
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1594387133668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594387141959
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1594387144932
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1594387144932
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1594387145171
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1594387145172
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1594387145975
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1594387146050
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1594387162133
started,bundle,org.eclipse.wst.xml.xpath.core,1.2.1.v201109010357,"org.eclipse.wst.xml.xpath.core",1594387163358
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1594387163773
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1594387165513
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1594387165522
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594387168583
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1594387168710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594387168751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594387173649
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1594387224482
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594387246546
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594387294281
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1594387297184
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594387307230
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594387355836
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594387390434
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594387397360
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594387401155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594387500352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594622931709
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594622938662
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594622957783
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594623155679
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594623158097
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1594623175306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623194760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623366866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623382258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623871121
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1594623874061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623881905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623887220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594623890886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594624067173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594624069604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594624071360
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594624071560
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1594624076118
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1594624076126
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1594624076583
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1594624076597
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1594624076610
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1594624076623
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1594624076635
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1594624076650
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1594624076663
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1594624076675
activated,perspective,com.liferay.ide.eclipse.ui,,"com.liferay.ide.eclipse.ui.perspective.liferay",1594625423162
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1594625423163
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1594625423165
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1594625423165
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1594625423167
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1594625423168
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1594625423169
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1594625423169
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1594625423170
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1594625423171
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1594625423172
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1594625423174
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1594625423175
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1594625423175
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1594625423176
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1594625423177
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1594625423179
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1594625423180
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1594625423182
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1594625423183
